freq_hz,s21_db_median,s21_db_hdi_low,s21_db_hdi_high,gd_ns_median,gd_ns_hdi_low,gd_ns_hdi_high
1231523871.8116417,-38.05611257273263,-44.56352377476335,-33.665352340882414,1.021994388657771,-8.039690849714097,10.629183299464037
1233485938.5219097,-38.16196416084901,-43.473125942231654,-33.2560088374018,1.455337855090524,-9.132820819897807,10.556210302256467
1235448005.232178,-38.15803513782582,-45.6192671735153,-33.79936394784055,1.8471667594513896,-6.689556362457071,12.047913630861919
1237410071.942446,-38.10840582990714,-44.18539341508782,-33.61043587186558,1.9529529196900357,-8.716241309721013,11.771929408043164
1239372138.6527143,-38.2945168371356,-45.16847855676535,-34.332164520209,1.6291631566435827,-7.994863382325522,11.535096202536339
1241334205.3629823,-37.689592185668616,-44.12935629771678,-33.9620962629127,1.1628469669311947,-10.189350242457518,9.610581548379722
1243296272.0732505,-38.57538070849955,-45.638740740644145,-34.02269672484134,1.3033314241476486,-8.69067079456286,12.857046414030275
1245258338.7835186,-38.461791151059515,-44.20890901911844,-33.27120957018144,0.9450745461646943,-9.181507065162108,11.222412499026397
1247220405.4937868,-38.272249892451136,-44.10822796970362,-33.401810545590386,0.5524226557007932,-8.663524558814858,9.6547822738389
1249182472.2040548,-38.357694923472295,-44.70284428524885,-33.32604230942009,0.41590535210018875,-8.726387872166017,10.96857907767494
1251144538.914323,-38.28421314583335,-45.06671590768772,-33.17602959052178,0.9292447528641807,-10.452522838941341,10.244536821668051
1253106605.6245914,-38.61754376659819,-44.86412376421398,-34.04947701041371,0.9797297153855258,-9.195263527885123,10.166052082723565
1255068672.3348594,-38.2411165454002,-44.91006714573406,-33.76173871712118,1.265410675876236,-8.735699562407166,11.222679143328332
1257030739.0451276,-38.06921685025086,-44.559231811683205,-33.273069712522286,1.5831224907686687,-9.495455299542224,10.930217015004024
1258992805.7553957,-38.65954410816534,-44.544124942246064,-32.78999768381662,1.6628256035248588,-9.036975912040527,11.452039594612147
1260954872.465664,-38.48765884270397,-45.04910207270227,-33.15524657730855,0.9641468822681423,-7.76585195801043,12.099873101115026
1262916939.175932,-38.225430349274745,-44.052750169865824,-33.42322547332783,1.2889942398822558,-8.564496714996375,11.099778735141198
1264879005.8862002,-38.143153212241984,-45.41498681454544,-33.47732613984999,1.7002834589949656,-8.7605085140498,10.600027947110151
1266841072.5964682,-37.699484271830556,-44.48738839339442,-33.72604821443452,1.6124775210259128,-9.059911645805895,10.97262867584836
1268803139.3067365,-38.5417077284406,-45.44429291450407,-33.83688894110386,1.551455018001961,-8.769500462485032,11.42823203800617
1270765206.0170045,-38.12447991418955,-44.72253042400893,-33.967400330751715,0.957125157645274,-9.488645688141332,11.48725904908216
1272727272.7272727,-38.19733532578827,-44.19869436973401,-34.07744169012191,0.9813926643068713,-8.548965427514275,12.416756395010374
1274689339.437541,-38.36239266926789,-45.101778799791326,-33.55770756324767,1.074258716716367,-9.272604433228135,11.754993845031606
1276651406.147809,-38.10467575838281,-45.79168945555699,-33.51777876480408,1.4069584674801088,-9.246553585194658,11.831699083113019
1278613472.858077,-38.520973791392784,-45.17327273747856,-32.33429702379262,0.9885031211654973,-7.323464483059524,12.903828914134133
1280575539.5683453,-38.63888051358285,-45.73520881262401,-33.7165535928484,1.0953421891247968,-7.960361383451151,9.311413315063884
1282537606.2786136,-38.35382214372494,-46.30399260912811,-33.51446574057583,1.2113604282824602,-7.907088173783777,12.508034352789357
1284499672.9888816,-38.299224073678985,-44.60523945730724,-32.60357090855202,0.8857997237830204,-9.077130546434724,13.196968231535536
1286461739.6991498,-38.157132881693414,-44.817340877858776,-32.811024296350546,1.502405172257008,-10.684341120944657,11.530730868914969
1288423806.4094179,-38.334709656048545,-45.10572599552545,-33.77318823752091,1.4324846500731623,-9.2845626706631,12.424544749858892
1290385873.1196861,-38.561991810017915,-45.84448682099183,-32.93499930308469,1.3929900015313847,-8.572053971050055,11.24422639073289
1292347939.8299541,-38.02441140754773,-44.20761721908411,-33.60433830466464,1.7168851215603373,-9.87610287724687,10.481666080715783
1294310006.5402224,-38.47064996538958,-46.31534498033734,-34.29573262927727,1.3024308261123112,-8.354692335201957,10.82842459255877
1296272073.2504907,-38.346215387509595,-45.27803175454814,-33.96869516167144,1.5803828797741715,-8.763928797890072,10.532934502916765
1298234139.9607587,-38.38329135610746,-44.07473467159403,-33.375074640360054,1.5651723874837216,-7.763312157220812,12.387010288759942
1300196206.6710267,-37.60820594330717,-43.61575071545961,-32.81518273250364,1.7017773766893458,-8.166601335324335,11.106598862947726
1302158273.381295,-37.83143513544151,-44.63560250999707,-32.202209822214165,1.6097689545795404,-9.106171310548993,8.865983198288454
1304120340.0915632,-37.76858032248073,-44.10696756629467,-32.752259651965,1.101734546128986,-7.575410449585597,10.615210313782814
1306082406.8018312,-37.35000922404427,-43.026120059654,-32.36589316713764,1.457433797056927,-7.659948292894524,11.323584723095307
